學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,1,0,0,0,0,00:00:00,084507_s00504
084507,1,0,0,0,0,00:00:00,084507_s00505
084507,1,0,0,0,0,00:00:00,084507_s00506
084507,1,0,0,0,0,00:00:00,084507_s00507
084507,1,0,0,0,0,00:00:00,084507_s00508
084507,1,0,0,0,0,00:00:00,084507_s00509
084507,1,0,0,0,0,00:00:00,084507_s00510
084507,1,0,0,0,0,00:00:00,084507_s00511
084507,1,0,0,0,0,00:00:00,084507_s00512
084507,1,0,0,0,0,00:00:00,084507_s00513
084507,1,0,0,0,0,00:00:00,084507_s00514
084507,1,0,0,0,0,00:00:00,084507_s00515
084507,1,0,0,0,0,00:00:00,084507_s00516
084507,1,0,0,0,0,00:00:00,084507_s00517
084507,1,0,0,0,0,00:00:00,084507_s00518
084507,1,0,0,0,0,00:00:00,084507_s00519
084507,1,0,0,0,0,00:00:00,084507_s00520
084507,1,0,0,0,0,00:00:00,084507_s00521
